Video ID,Age,Gender,Ethnicity,chills Binary,chills Binary,Chills #,Chill Intensity,Timings,Daily Chills,NIO_Openess,Prior exposure,Sleppiness,Pre-Pleasure,Prepleasure /2 arrondi,Prepleasure /2,Post-Pleasure,Pre Calm,Pre-calm/2,Pre-calm/2 (rounded),Post Calm,Pre NEO,Post NEO,Diff NEO,Total NEO,Emotion drift,Direction,,,Tan inverse,Calm Diff,Pleasure Diff,,Tan inverse,
tfDPlC_YLaQ,37,male,White,1,TRUE,2,1,"141.99,175.91",1,4,No,1,9,1,4.5,3,10,5,3,1,7,9,2,16,4.272001873,0.3936265759,,,0.3587706703,-4,-1.5,Up,0.3587706703,Up
tfDPlC_YLaQ,58,male,White,1,TRUE,6,3,"27.52,106.05,117.59,192.36,306.00,321.80",1,1,No,10,7,5,3.5,3,2,1,1,2,9,12,3,21,1.118033989,-0.5463024898,,,-0.463647609,1,-0.5,FALSE,-0.463647609,Down
tfDPlC_YLaQ,56,male,White,0,FALSE,0,0,,1,2,No,8,8,4,4,2,8,4,2,2,6,11,5,17,2.828427125,1.557407725,,,0.7853981634,-2,-2,Up,0.7853981634,Up
tfDPlC_YLaQ,39,male,White,0,FALSE,0,0,,1,1,No,3,4,2,2,1,4,2,1,1,-1,3,4,2,1.414213562,1.557407725,,,0.7853981634,-1,-1,Up,0.7853981634,Up
tfDPlC_YLaQ,34,male,White,1,TRUE,5,1,"262.54,272.56,325.94,342.23,359.77",3,2,No,1,0,1,0,1,2,1,1,1,-2,3,5,1,1,#DIV/0!,,,1.57,0,1,Up,1.57,Up
tfDPlC_YLaQ,22,female,Mixed,1,TRUE,1,0,308.63,2,3,No,2,7,1,3.5,2,7,3.5,2,2,6,8,2,14,2.121320344,1.557407725,,,0.7853981634,-1.5,-1.5,Up,0.7853981634,Up
tfDPlC_YLaQ,35,female,Mixed,1,TRUE,6,2,"21.74,61.41,134.95,181.38,240.36,324.69",1,3,No,7,6,4,3,3,1,0.5,0,2,7,12,5,19,1.5,0,,,0,1.5,0,FALSE,0,Down
tfDPlC_YLaQ,27,female,Mixed,1,TRUE,2,1,"251.04,343.34",2,3,No,6,7,3,3.5,1,5,2.5,1,1,9,9,0,18,2.915475947,-10.39877834,,,1.030376827,-1.5,-2.5,Up,1.030376827,Up
tfDPlC_YLaQ,28,female,Hispanic,1,TRUE,6,2,"18.31,32.51,163.18,186.09,221.21,311.55",1,2,No,3,7,2,3.5,3,8,4,2,3,8,12,4,20,1.118033989,0.5463024898,,,0.463647609,-1,-0.5,Up,0.463647609,Up
tfDPlC_YLaQ,56,male,Hispanic,1,TRUE,2,2,"248.79,318.04",1,1,No,10,8,5,4,2,1,0.5,0,1,3,8,5,11,2.061552813,-1.157821282,,,-1.325817664,0.5,-2,FALSE,-1.325817664,Down
tfDPlC_YLaQ,19,female,Asian,0,FALSE,0,0,,1,3,No,4,4,2,2,1,4,2,1,1,8,14,6,22,1.414213562,1.557407725,,,0.7853981634,-1,-1,Up,0.7853981634,Up
tfDPlC_YLaQ,25,female,Asian,1,TRUE,9,1,"101.52,123.33,134.11,165.96,220.13,243.46,286.61,312.96,326.51",2,1,No,6,7,3,3.5,1,8,4,2,2,6,8,2,14,3.201562119,3.009569674,,,0.8960553846,-2,-2.5,Up,0.8960553846,Up
tfDPlC_YLaQ,25,female,Asian,0,FALSE,0,0,,2,1,No,7,7,4,3.5,2,1,0.5,0,1,6,10,4,16,1.58113883,0.1425465431,,,-1.249045772,0.5,-1.5,FALSE,-1.249045772,Down
tfDPlC_YLaQ,24,male,Asian,1,TRUE,4,0,"187.26,219.29,230.29,371.63",2,0,No,0,6,0,3,2,6,3,2,2,-4,2,6,-2,1.414213562,1.557407725,,,0.7853981634,-1,-1,Up,0.7853981634,Up
tfDPlC_YLaQ,35,male,Asian,1,TRUE,3,1,"159.16,291.82,308.36",1,1,No,3,5,2,2.5,3,4,2,1,3,0,6,6,6,1.118033989,0.5463024898,,,0.463647609,1,0.5,Up,0.463647609,Up
tfDPlC_YLaQ,36,male,Asian,1,TRUE,4,2,"305.94,311.21,318.49,326.52",1,1,No,7,5,4,2.5,2,10,5,3,3,3,8,5,11,2.061552813,0.2553419212,,,0.2449786631,-2,-0.5,Up,0.2449786631,Up
Y1UiD2sxoWo,41,female,White,1,TRUE,1,1,372.63,1,3,No,6,5,3,2.5,2,0,0,0,2,-2,4,6,2,2.061552813,-0.2553419212,,,-0.2449786631,2,-0.5,FALSE,-0.2449786631,Down
Y1UiD2sxoWo,34,female,White,1,TRUE,7,2,"58.18,111.49,130.34,175.53,222.14,259.83,289.53",1,3,No,9,10,5,5,3,9,4.5,2,3,1,7,6,8,2.5,4.131728991,,,0.927295218,-1.5,-2,Up,0.927295218,Up
Y1UiD2sxoWo,39,female,White,0,FALSE,0,0,,1,1,No,9,5,5,2.5,2,3,1.5,1,2,6,10,4,16,0.7071067812,-1.557407725,,,-0.7853981634,0.5,-0.5,FALSE,-0.7853981634,Down
Y1UiD2sxoWo,24,female,White,1,TRUE,1,1,159.9,1,3,No,5,9,3,4.5,3,8,4,2,3,4,11,7,15,1.802775638,14.10141995,,,0.9827937232,-1,-1.5,Up,0.9827937232,Up
Y1UiD2sxoWo,30,female,White,0,FALSE,0,0,,1,2,No,9,7,5,3.5,2,3,1.5,1,3,7,11,4,18,2.121320344,-1.557407725,,,-0.7853981634,1.5,-1.5,FALSE,-0.7853981634,Down
Y1UiD2sxoWo,45,female,White,1,TRUE,2,1,"170.19,290.87",1,3,No,4,7,2,3.5,3,5,2.5,1,3,7,13,6,20,0.7071067812,-1.557407725,,,-0.7853981634,0.5,-0.5,FALSE,-0.7853981634,Down
Y1UiD2sxoWo,46,female,White,1,TRUE,1,1,110.49,1,3,No,8,9,4,4.5,3,0,0,0,4,6,12,6,18,4.272001873,-0.3936265759,,,-0.3587706703,4,-1.5,FALSE,-0.3587706703,Down
Y1UiD2sxoWo,57,male,White,0,FALSE,0,0,,1,2,No,10,7,5,3.5,3,10,5,3,3,3,8,5,11,2.061552813,0.2553419212,,,0.2449786631,-2,-0.5,Up,0.2449786631,Up
Y1UiD2sxoWo,39,male,White,1,TRUE,2,1,"76.81,228.66",1,1,No,1,9,1,4.5,2,10,5,3,3,10,14,4,24,3.201562119,3.009569674,,,0.8960553846,-2,-2.5,Up,0.8960553846,Up
Y1UiD2sxoWo,27,male,White,0,FALSE,0,0,,1,1,Unsure,10,7,5,3.5,3,1,0.5,0,3,6,9,3,15,2.549509757,-0.2027100355,,,-0.1973955598,2.5,-0.5,FALSE,-0.1973955598,Down
Y1UiD2sxoWo,40,male,White,1,TRUE,1,2,213.76,2,2,No,0,9,0,4.5,4,10,5,3,4,10,15,5,25,1.118033989,0.5463024898,,,0.463647609,-1,-0.5,Up,0.463647609,Up
8waJ7W3QcJc,45,female,White,1,TRUE,1,1,21.9,1,1,No,7,7,4,3.5,2,7,3.5,2,3,7,10,3,17,1.58113883,-0.1425465431,,,1.249045772,-0.5,-1.5,Up,1.249045772,Up
